Feature,Coefficient,Abs_Coefficient
Passing_Year_Of_PHD PG_Specialization_encoded,-15243.346907791758,15243.346907791758
Current_CTC Has_PG Performance_Score,15070.343402089684,15070.343402089684
Total_Experience_in_field_applied Inhand_Offer,14932.320996201659,14932.320996201659
Number_of_Publications Performance_Score^2,14870.976556811805,14870.976556811805
Passing_Year_Of_Graduation Current_CTC Field_Specialization_Ratio,14840.600089418147,14840.600089418147
Passing_Year_Of_Graduation Current_CTC University_PG_encoded,14821.307269458886,14821.307269458886
Organization_encoded Education_Level_encoded^2,14673.57348327479,14673.57348327479
Passing_Year_Of_Graduation Current_CTC PG_Specialization_encoded,14569.333170694805,14569.333170694805
Current_CTC^2 Education_Level_encoded,-14501.76603893597,14501.76603893597
Passing_Year_Of_PHD Current_CTC^2,14424.219327469975,14424.219327469975
Passing_Year_Of_Graduation Current_CTC Preferred_location_encoded,14329.898644781144,14329.898644781144
Current_CTC University_PHD_encoded,14290.628032577553,14290.628032577553
Performance_Score Education_Level_encoded^2,14269.649387807724,14269.649387807724
Total_Experience Passing_Year_Of_Graduation Curent_Location_encoded,-14165.414565728159,14165.414565728159
Passing_Year_Of_PHD University_PG_encoded,-14135.173874201511,14135.173874201511
Total_Experience Current_CTC No_Of_Companies_worked,-14105.21249988249,14105.21249988249
Current_CTC Industry_encoded Designation_encoded,-14029.679235754289,14029.679235754289
Passing_Year_Of_Graduation Current_CTC No_Of_Companies_worked,14002.023689890922,14002.023689890922
Passing_Year_Of_PHD University_PHD_encoded,-13938.13298971488,13938.13298971488
Designation_encoded Education_Level_encoded^2,13880.280756678312,13880.280756678312
Total_Experience^2 University_PHD_encoded,-13825.361909251886,13825.361909251886
Total_Experience Passing_Year_Of_Graduation Performance_Score,-13767.46377593175,13767.46377593175
Total_Experience Total_Experience_in_field_applied Role_encoded,-13747.737768645295,13747.737768645295
Passing_Year_Of_Graduation Current_CTC Industry_encoded,13661.659578580759,13661.659578580759
Role_encoded Education_Level_encoded^2,13636.056349668808,13636.056349668808
Total_Experience Total_Experience_in_field_applied Industry_encoded,-13549.275905973605,13549.275905973605
Total_Experience Passing_Year_Of_Graduation^2,13515.44803884865,13515.44803884865
Total_Experience Current_CTC,-13495.899926868515,13495.899926868515
Total_Experience_in_field_applied Performance_Score^2,-13491.937798567918,13491.937798567918
Total_Experience^2 Passing_Year_Of_PHD,13418.158347570301,13418.158347570301
Total_Experience Passing_Year_Of_Graduation Has_PHD,-13343.000040293966,13343.000040293966
Total_Experience Organization_encoded,13328.26343281589,13328.26343281589
Total_Experience_in_field_applied University_PHD_encoded,-13312.790489543428,13312.790489543428
Passing_Year_Of_Graduation Current_CTC Inhand_Offer,13303.370082545516,13303.370082545516
